date,house_size,bed,bath,price,broker,street,city,state_name,zip_code
"AUG 29, 2024","1,102 sqft",3bd,3bd,"$92,300","Parkvue Realty Corporation, Closed",12912 S  Peoria St, Chicago,Illinois,60643
"AUG 29, 2024","1,200 sqft",3bd,3bd,"$285,000","Bloom/Sanchez Realty, Inc., Closed",12932 S  Saginaw Ave, Chicago,Illinois,60633
"AUG 29, 2024","2,605 sqft",3bd,3bd,"$430,000","Century 21 New Beginnings, Closed",14218 S  84th Ave, Orland Park,Illinois,60462
"AUG 29, 2024","1,625 sqft",2bd,2bd,"$360,000","RE/MAX 10, Closed",9971 Constitution Dr, Chicago,Illinois,60462
"AUG 29, 2024","1,100 sqft",3bd,3bd,"$239,900","Oak Realty of Chicago, Inc., Closed",2840 140th St, Blue Island,Illinois,60406
"AUG 29, 2024","1,350 sqft",2bd,2bd,"$219,900","Baird & Warner, Closed",15124 Central Ave #A, Oak Forest,Illinois,60452
"AUG 29, 2024","1,266 sqft (on 0.36 acres)",3bd,3bd,"$185,000","Keller Williams Preferred Realty, Closed",16054 Richmond Ave, Markham,Illinois,60428
"AUG 29, 2024","1,426 sqft (on 0.46 acres)",3bd,3bd,"$190,000","eXp Realty, LLC, Closed",4440 177th Pl, Country Club Hills,Illinois,60478
"AUG 29, 2024","1,168 sqft",4bd,4bd,"$132,000","Coldwell Banker Realty, Closed",13903 S  State St, Riverdale,Illinois,60827
"AUG 29, 2024","1,244 sqft",4bd,4bd,"$215,000","Evers Realty Group, Closed",13 Detroit St, Calumet City,Illinois,60409
"AUG 29, 2024","1,147 sqft",3bd,3bd,"$136,000","Prestige Properties Real Estate Pros Inc, Closed",1329 Woodview Ave, Calumet City,Illinois,60409
"AUG 29, 2024",864 sqft,3bd,3bd,"$150,000",,4246 Greenbrier Ln, Richton Park,Illinois,60471
"AUG 29, 2024","1,268 sqft",3bd,3bd,"$140,000","Century 21 Circle, Closed",22640 Lorraine Ct, Richton Park,Illinois,60471
"AUG 29, 2024","1,088 sqft",4bd,4bd,"$309,900","HomeSmart Realty Group, Closed",733 W  Strieff Ln, Glenwood,Illinois,60425
"AUG 29, 2024","1,907 sqft",3bd,3bd,"$337,000","Baird & Warner, Closed",2109 Vardon Ln, Flossmoor,Illinois,60422
"AUG 29, 2024","1,073 sqft",3bd,3bd,"$165,000","PAK Home Realty, Closed",2264 Rush St, Lynwood,Illinois,60411
"AUG 29, 2024",936 sqft,3bd,3bd,"$172,000","Futurevision, Inc., Closed",22482 Yates Ave, Sauk Village,Illinois,60411
"AUG 29, 2024","1,146 sqft",3bd,3bd,"$185,000","eXp Realty, LLC, Closed",3503 186th St, Lansing,Illinois,60438
"AUG 29, 2024","1,248 sqft",3bd,3bd,"$360,000","Yifang Lu, Closed",1841 Isle Royal Ln, Hanover Park,Illinois,60133
"AUG 29, 2024","1,552 sqft",3bd,3bd,"$410,000","RE/MAX All Pro, Closed",600 Radnor Dr, Roselle,Illinois,60172
"AUG 29, 2024","3,055 sqft (on 0.40 acres)",4bd,4bd,"$600,000","Coldwell Banker Realty, Closed",431 Knollwood Dr, Wood Dale,Illinois,60191
"AUG 29, 2024","3,236 sqft",4bd,4bd,"$462,500","RE/MAX Liberty, Closed",454 N  Pioneer Dr, Addison,Illinois,60101
"AUG 29, 2024","2,424 sqft (on 0.34 acres)",4bd,4bd,"$517,000","Platinum Partners Realtors, Closed",805 Honeysuckle Ave, West Chicago,Illinois,60185
"AUG 29, 2024","1,450 sqft",2bd,2bd,"$290,000","@properties Christie's International Real Estate, Closed",884 Brompton Ct, Carol Stream,Illinois,60188
"AUG 29, 2024","1,572 sqft",3bd,3bd,"$435,000","@properties Christie's International Real Estate, Closed",429 W  Evergreen St, Wheaton,Illinois,60187
"AUG 29, 2024","1,681 sqft",3bd,3bd,"$430,000","john greene, Realtor, Closed",330 E  Huntington Ln, Elmhurst,Illinois,60126
"AUG 29, 2024","1,019 sqft",3bd,3bd,"$375,000","L.W. Reedy Real Estate, Closed",340 N  Garfield St, Lombard,Illinois,60148
