date,bed,bath,price,broker,street,city,state_name,zip_code,house_sqft
2024-08-26,3.0,3.0,302000.0,Coastal Realty Group-CSB South,1006 Garrison Ave, Port Saint Joe,Florida,32456,1290.0
2024-08-26,3.0,3.0,335000.0,Unknown,3380 Caverns Rd, Marianna,Florida,32446,2424.0
2024-08-26,3.0,3.0,408000.0,Hill Spooner & Elliott Inc,1731 Benjamin Chaires Rd, Tallahassee,Florida,32317,1519.0
2024-08-26,2.0,2.0,138000.0,Century 21 First Story,2241 Sandpiper St, Tallahassee,Florida,32303,928.0
2024-08-26,2.0,2.0,73000.0,Coldwell Banker Hartung,645 Dent St, Tallahassee,Florida,32304,965.0
2024-08-26,4.0,4.0,1250000.0,Lead Realty,428 Pelham Rd, Fort Walton Beach,Florida,32547,2603.0
2024-08-26,3.0,3.0,289900.0,Keller Williams Realty Cview,203 Southview Dr, Crestview,Florida,32536,1327.0
2024-08-26,5.0,5.0,300000.0,Coldwell Banker Realty,407 Anchors St, Niceville,Florida,32578,1636.0
2024-08-26,3.0,3.0,428000.0,EXP Realty LLC,914 Aloma Faye Ln, Fort Walton Beach,Florida,32547,1895.0
2024-08-26,4.0,4.0,349900.0,Keller Williams Success Realty,5930 Creekside Cir, Crestview,Florida,32536,2350.0
2024-08-26,4.0,4.0,400000.0,Coldwell Banker Realty,6767 Berryhill St, Milton,Florida,32570,3233.0
2024-08-26,5.0,5.0,975000.0,Key Impressions LLC,6728 Tom King Bayou Rd, Navarre,Florida,32566,2706.0
2024-08-26,3.0,3.0,259900.0,Bastion Realty LLC,6015 Hamilton Bridge Rd, Milton,Florida,32570,1810.0
2024-08-26,3.0,3.0,399999.0,Levin Rinke Realty,5344 Rowe Trl, Pace,Florida,32571,1892.0
2024-08-26,3.0,3.0,280000.0,Levin Rinke Realty,5026 Willard Norris Rd, Milton,Florida,32570,2004.0
2024-08-26,3.0,3.0,392500.0,Levin Rinke Realty,2013 Bahama Dr, Navarre,Florida,32566,1740.0
2024-08-26,3.0,3.0,365000.0,Coldwell Banker Realty,2840 Lido Blvd, Gulf Breeze,Florida,32563,1551.0
